issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Government National Mortgage Association,Investment Grade,22.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
,,,Interest Rate Swap,Government Related,
CSMC TRUST,,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Bond - Non-Agency Residential MBS,,
Federal National Mortgage Association,Investment Grade,48.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,Investment Grade,,Bond - Non-Agency Residential MBS,,
,,,Bond - Bank Loans,Bank Loan,
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
Avon Finance No. 3 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
CSMC TRUST,,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Intelsat Jackson Holdings SA,Below Investment Grade,359.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,53.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Bond - Non-Agency Residential MBS,,
United States Treasury Bonds,Investment Grade,5.0,Bond - Gov't/Treasury,Government,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,3.0,Bond - Gov't/Treasury,Government,Developed
CONSUMER LOAN FINANCE 2023-1 ISSUER TRUST,,,Bond - Asset Backed,,
CONSUMER LOAN FINANCE 2023-2 ISSUER TRUST,,,Bond - Asset Backed,,
CONSUMER LOAN FINANCE 2023-3 ISSUER TRUST,,,Bond - Asset Backed,,
,,,Interest Rate Swap,Government Related,
Roundstone Securities No.1 Designated Activity Company,Investment Grade,,Bond - Global Non-Agency MBS,Agency Mortgage Backed,Developed
,Investment Grade,,Bond - Non-Agency Residential MBS,,
,,,Bond - Non-US Gov't Agency CMO,,
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
Csmc Trust 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,29.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
SMB PRIVATE EDUCATION LOAN TRUST 2023-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
Chester A Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,57.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,8.0,Bond - Gov't/Treasury,Government,Developed
,,,Bond - Non-Agency Residential MBS,,
,,,Bond - Bank Loans,Bank Loan,
Mexico (United Mexican States),Investment Grade,,Bond - Gov't Inflation Protected,Government,Emerging
Stichting AK Rabobank Certificaten,,450.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
,,,Credit Default Swap,Swap,
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CITIGROUP MORTGAGE LOAN TRUST 2023-RP2,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
CSMC 2019-RPL5 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Bond - Option (Call),,
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
LEGACY MORTGAGE ASSET TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Legacy Mtg Tr 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Petroleos Mexicanos,Investment Grade,588.0,Bond - Corporate Bond,Corporate Bond,Emerging
CSMC 2019-RPL7 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Bond - Non-Agency Residential MBS,,
,,,Bond - Non-Agency Residential MBS,,
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
Pacific Gas and Electric Company,Investment Grade,152.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Bond - Non-Agency Residential MBS,,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Bond - Non-Agency Residential MBS,,
,,,Interest Rate Swap,Government Related,
Csmc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
CITIGROUP MORTGAGE LOAN TRUST,Investment Grade,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
SMB PRIVATE EDUCATION LOAN TRUST 2023-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,22.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
,,,Interest Rate Swap,Government Related,
Turkey (Republic of),Below Investment Grade,132.0,Bond - Gov't/Treasury,Government,Emerging
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Non-Agency Residential MBS,,
,,,Bond - Option (Put),,
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Treasury Future,Government Related,Developed
,,,Credit Default Swap,Swap,
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
SMB PRIVATE EDUCATION LOAN TRUST 2022-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Pacific Gas and Electric Company,Investment Grade,196.0,Bond - Corporate Bond,Corporate Bond,Developed
Mexico (United Mexican States),Investment Grade,445.0,Bond - Gov't Inflation Protected,Government,Emerging
Credit Suisse AG New York Branch,Investment Grade,99.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Turkey (Republic of),Below Investment Grade,299.0,Bond - Gov't/Treasury,Government,Emerging
SMB PRIVATE EDUCATION LOAN TRUST 2022-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Option (Put),,
Proteus  Rmbs DAC,,,Bond - Global Non-Agency MBS,Agency Mortgage Backed,Developed
Kentmere No.1 Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Bond - Bank Loans,Bank Loan,
,,,Bond - Option (Put),,
Government National Mortgage Association,Investment Grade,28.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,1.0,Bond - Gov't Inflation Protected,Government,Developed
Turkey (Republic of),Below Investment Grade,305.0,Bond - Gov't/Treasury,Government,Emerging
United States Treasury Bonds,Investment Grade,5.0,Bond - Gov't/Treasury,Government,Developed
,,,Interest Rate Swap,Government Related,
Performer Funding 1 PLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Russian Federation,Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
CITIGROUP MORTGAGE LOAN TRUST 2022-RP5,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Warwick Finance Residential Mortgages Number Three Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
BARCLAYS MORTGAGE LOAN TRUST 2023-NQM2,,,Bond - Asset Backed,Asset Backed,Developed
Nrpl Trust 2019-1,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Treasury Future,Government Related,Developed
,,,Interest Rate Swap,Government Related,
Davis Square Funding V Ltd/Corp,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Asset Backed,Asset Backed,Developed
UBS Group AG,Investment Grade,168.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
National Bank of Hungary,,-706.0,Bond - Short-term Government Bills,Government,Emerging
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Bond - Option (Call),,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Legacy Mortgage Asset Trust,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Legacy Mortgage Asset Trust,,,Bond - Asset Backed,Asset Backed,Developed
,,,Credit Default Swap,Swap,
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Market Bidco Finco PLC,Below Investment Grade,613.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Pacific Gas and Electric Company,Investment Grade,110.0,Bond - Corporate Bond,Corporate Bond,Developed
Community Health Systems Incorporated,Below Investment Grade,417.0,Bond - Corporate Bond,Corporate Bond,Developed
SMB PRIVATE EDUCATION LOAN TRUST 2022-D,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
CSMC TRUST,,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
CITIGROUP MORTGAGE LOAN TRUST,,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
,,,Credit Default Swap,Swap,
Nissan Motor Co Ltd.,Below Investment Grade,211.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Carvana Co,Below Investment Grade,,Bond - Corporate Bond,Corporate Bond,Developed
,,,Bond - Bank Loans,Bank Loan,
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,25.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Bond - Option (Put),,
,,,Credit Default Swap,Swap,
,,,Bond - Option (Put),,
,,,Bond - Option (Put),,
,,,Bond - Option (Call),,
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
Kirkby Rmbs Plc,,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CONSUMER LOAN FINANCE 2023-4 ISSUER TRUST,,,Bond - Asset Backed,,
SOFI ALTERNATIVE TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
GS MORTGAGE-BACKED SECURITIES TRUST 2021-RPL2,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
PALMER SQUARE CLO 2023-4 LTD,Investment Grade,,Bond - Asset Backed,,
NatWest Group PLC,Investment Grade,153.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
CONSUMER LOAN FINANCE 2023-3 ISSUER TRUST,,,Bond - Asset Backed,,
CONSUMER LOAN FINANCE 2023-2 ISSUER TRUST,,,Bond - Asset Backed,,
CONSUMER LOAN FINANCE 2023-1 ISSUER TRUST,,,Bond - Asset Backed,,
PG&E Wildfire Recovery Funding LLC,Investment Grade,107.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
ELMWOOD CLO 24 LTD,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
HSBC Holdings PLC,Investment Grade,152.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Barclays PLC,Investment Grade,182.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
NEW RESIDENTIAL MORTGAGE LOAN TRUST 2023-NQM1,Investment Grade,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Pacific Gas and Electric Company,Investment Grade,147.0,Bond - Corporate Bond,Corporate Bond,Developed
Carvana Co,Below Investment Grade,,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Performer Funding 1 PLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
NRPL 2023-RPL1 TRUST,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Russian Federation,Below Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
,,,Bond - Option (Put),,
Eucalyptus Mortgages 2022 Ltd.,,,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Mexico (United Mexican States),Investment Grade,,Bond - Gov't Inflation Protected,Government,Emerging
Chester A Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
CSMC Trust,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
NatWest Group PLC,Investment Grade,145.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Russian Federation,Below Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
Ripon Mortgages PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Legacy Mortgage Asset Trust,,,Bond - Asset Backed,Asset Backed,Developed
UBS Group AG,Investment Grade,126.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Trups Financials Note Securiti,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Pacific Gas and Electric Company,Investment Grade,127.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Corsair International Limited,,,Bond - Corporate Bond,Corporate Bond,Emerging
Csmc Trust 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
SMB PRIVATE EDUCATION LOAN TRUST 2023-D,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
United Airlines Pass Through Trust 2020-1A,Investment Grade,117.0,Bond - Asset Backed,Asset Backed,Developed
Chester A Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
CONSUMER LOAN FINANCE 2023-5 ISSUER TRUST,,,Bond - Asset Backed,,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Credit Default Swap,Swap,
Petroleos Mexicanos,Below Investment Grade,609.0,Bond - Corporate Bond,Corporate Bond,Emerging
Federal Home Loan Mortgage Corp.,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Chester A Plc,,-504.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Societe Generale S.A.,Investment Grade,200.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Palmer Square European Loan Funding 2023-3 Designated Activity Co,,,Bond - Collateralized Loan Obligations (CLO),Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CITIGROUP MORTGAGE LOAN TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
NAVIENT PRIVATE EDUCATION REFI LOAN TRUST,,,Bond - Asset Backed,Asset Backed,Developed
UBS Group AG,Investment Grade,159.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
"MAGNETITE XXXIX, LIMITED",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
SMB PRIVATE EDUCATION LOAN TRUST 2022-D,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
SOFI ALTERNATIVE TRUST,,,Bond - Asset Backed,Asset Backed,Developed
CSMC Trust,,,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,36.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Pacific Gas and Electric Company,Investment Grade,121.0,Bond - Corporate Bond,Corporate Bond,Developed
Argentina (Republic of),Below Investment Grade,1543.0,Bond - Gov't/Treasury,Government,Emerging
LEGACY MORTGAGE ASSET TRUST,,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
MF1 2022-FL10 LLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Pacific Gas and Electric Company,Investment Grade,189.0,Bond - Corporate Bond,Corporate Bond,Developed
Deutsche Bank AG New York Branch,Investment Grade,188.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
DISH DBS Corporation,Below Investment Grade,734.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Bond - Asset Backed,,
CSMC 2019-RPL5 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CSMC Trust,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CSMC 2021-RPL5 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
SMB PRIVATE EDUCATION LOAN TRUST 2023-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Csmc Trust 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Avon Finance No.4 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
DISH DBS Corporation,Below Investment Grade,709.0,Bond - Corporate Bond,Corporate Bond,Developed
NEUBERGER BERMAN LOAN ADVISERS NBLA CLO 53 LTD,Investment Grade,,Bond - Asset Backed,Asset Backed,Not Classified
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Argentina (Republic of),Below Investment Grade,3083.0,Bond - Gov't/Treasury,Government,Emerging
,,,Bond - Bank Loans,Bank Loan,
Amer Gen Mtg Ln Ts,,,Bond - Asset Backed,Asset Backed,Developed
Tralee CLO IV Ltd/Llc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
,,,Interest Rate Swap,Government Related,
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
